GtReceit  MediaRev  StadRev  TotRev  PlayerCt  OpExpens  OpIncome  FranValu  Franchis
19.4	61.0	7.4	90.0	29.8	59.6	30.4	200	NyYank
26.6	32.5	18.0	79.3	36.0	72.0	7.3	180	LADodge
22.9	50.0	16.0	91.1	35.2	70.4	20.7	170	NYMets
44.5	30.0	12.0	88.7	29.7	62.4	26.3	160	TorBlJay
24.5	40.5	14.3	81.5	35.4	70.8	10.7	160	BosRdSox
19.0	24.4	5.0	50.6	15.8	39.5	11.1	140	BaltOrio
27.5	25.7	19.3	78.0	18.0	60.0	18.0	140	ChWhSox
19.9	25.0	12.0	59.1	23.2	46.4	12.7	132	StLCard
22.8	27.5	12.0	64.5	29.0	58.0	6.5	132	ChCubs
19.0	25.5	14.0	61.5	20.7	47.6	13.9	123	TxRanger
16.9	20.5	14.0	53.6	30.4	60.8	-7.2	117	KCRoyals
15.2	23.2	7.6	48.2	21.7	43.4	4.8	115	PhilPhil
25.7	27.0	10.0	64.9	39.2	66.6	-1.7	115	OakAthlt
19.0	27.9	5.0	54.1	34.3	61.7	-7.6	103	CalAngls
15.5	26.2	5.0	48.9	33.3	53.3	-4.4	99	SFGiants
17.1	24.4	5.3	49.0	27.1	48.8	0.2	98	CinnReds
15.6	23.1	7.5	48.4	24.4	48.8	-0.4	96	SDPadres
10.6	25.2	8.0	46.0	12.1	31.5	14.5	95	HousAstr
16.2	21.9	5.5	45.8	24.9	49.8	-4.0	87	PittPirt
15.6	28.8	5.0	51.6	31.1	54.4	-2.8	85	DetTiger
15.4	18.9	3.8	40.3	20.4	40.8	-0.5	83	AtBraves
18.2	20.5	3.2	44.1	24.1	48.2	-4.1	83	MinnTwin
15.5	22.0	5.0	44.7	17.4	41.8	2.9	79	SeatMar
14.2	19.4	3.0	38.8	26.4	50.2	-11.4	77	MilBrews
9.5	23.7	6.6	42.0	19.5	46.8	-4.8	77	ClevIndn
10.7	23.5	3.0	39.4	21.8	43.6	-4.2	75	MonExpos
