Visitors	Time	Price	Celeb.
2.685280000e+005	1.000000000e+000	3.900000000e-001	0.000000000e+000
4.681360000e+005	2.000000000e+000	5.300000000e-001	1.000000000e+000
3.901290000e+005	3.000000000e+000	5.700000000e-001	0.000000000e+000
3.001400000e+005	4.000000000e+000	5.900000000e-001	0.000000000e+000
2.711400000e+005	5.000000000e+000	6.200000000e-001	0.000000000e+000
2.827520000e+005	6.000000000e+000	6.300000000e-001	0.000000000e+000
2.440060000e+005	7.000000000e+000	8.600000000e-001	0.000000000e+000
1.615240000e+005	8.000000000e+000	1.190000000e+000	0.000000000e+000
2.771340000e+005	9.000000000e+000	1.310000000e+000	0.000000000e+000
3.823430000e+005	1.000000000e+001	1.220000000e+000	0.000000000e+000
6.177370000e+005	1.100000000e+001	1.160000000e+000	1.000000000e+000
4.538810000e+005	1.200000000e+001	1.130000000e+000	0.000000000e+000
4.714170000e+005	1.300000000e+001	8.600000000e-001	0.000000000e+000
6.541470000e+005	1.400000000e+001	9.000000000e-001	1.000000000e+000
