ChickConsum  Income  ChickPrice  PorkPrice  BeefPrice
28.0	397.5	42.2	50.7	78.3
29.9	413.3	38.1	52.0	79.2
30.1	439.2	40.3	54.0	79.2
30.9	459.7	39.5	55.3	79.2
31.4	492.9	37.3	54.7	77.4
33.7	528.6	38.1	63.7	80.2
35.6	560.3	39.3	69.8	80.4
35.6	624.6	37.8	65.9	83.9
37.1	666.4	38.4	64.5	85.5
38.5	717.8	40.1	70.0	93.7
40.3	768.2	38.6	73.2	106.1
40.2	843.3	39.8	67.8	104.8
41.7	911.6	39.7	79.1	114.0
39.9	931.1	52.1	95.4	124.1
39.7	1021.5	48.9	94.2	127.6
39.0	1165.9	58.3	123.5	142.9
39.1	1349.6	57.9	129.9	143.6
42.8	1449.4	56.5	117.6	139.2
44.9	1575.5	63.7	130.9	165.5
48.3	1759.1	61.6	129.8	203.3
49.0	1994.2	58.9	128.0	219.6
49.4	2258.1	66.4	141.0	221.6
49.6	2478.7	70.4	168.2	232.6
